year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202508,admin.shopify.com / referral,5,4,0,0.0,1
202508,en.cap3000.com / referral,5,3,0,0.0,1
202508,facebook / paid,5,3,0,0.0,3
202508,l.wl.co / referral,5,2,0,0.0,3
202508,linktr.ee / referral,5,3,0,0.0,5
202508,marieclaire.be / referral,5,4,0,0.0,4
202508,outlook.live.com / referral,5,2,0,0.0,3
202508,trustpilot / company_profile,5,3,0,0.0,3
202509,affilae / affiliation,5,1,0,0.0,2
202509,linkedin.com / referral,5,3,0,0.0,5
202509,public.fr / referral,5,1,0,0.0,1
202509,trustpilot / company_profile,5,3,0,0.0,3
202510,lepetitlunetier.couponasion.com / referral,5,2,1,273.2,1
202510,youcare.world / referral,5,5,0,0.0,5
202511,copilot.microsoft.com / referral,5,1,0,0.0,3
202511,lm.facebook.com / referral,5,3,0,0.0,5
202511,yahoo / organic,5,5,0,0.0,5
202512,IGShopping / Social,5,3,0,0.0,4
202512,poulpeo.com / referral,5,2,0,0.0,3
202601,search.brave.com / referral,5,3,0,0.0,5
202601,yahoo / organic,5,5,0,0.0,4
202602,judgeme / email,5,2,0,0.0,3
202602,l.instagram.com / referral,5,2,0,0.0,5
202602,shop-website / website,5,1,0,0.0,2
202603,brevo / email,5,2,1,114.0,1
202603,crm / whatsapp_,5,4,1,49.0,2
202603,perplexity / (not set),5,4,0,0.0,5
202604,IGShopping / Social,5,3,0,0.0,5
202604,xxxxx / xxxxx,5,4,0,0.0,5
202605,facebook / (not set),5,1,0,0.0,1
202606,yahoo / organic,5,3,0,0.0,2
202506,REVER Recommendations / email,4,3,0,0.0,1
202506,ebuyclub.com / referral,4,3,0,0.0,3
202506,lm.facebook.com / referral,4,1,0,0.0,4
202506,mail.google.com / referral,4,3,0,0.0,3
202506,outlook.live.com / referral,4,1,0,0.0,3
202506,youtube.com / referral,4,2,0,0.0,2
202507,Instagram / Influenceur,4,3,0,0.0,3
202507,lepetitlunetier.couponasion.com / referral,4,1,0,0.0,3
202507,mesenvies.fr / referral,4,3,0,0.0,3
202507,operator.savoo.com / referral,4,4,0,0.0,1
202507,savoo.fr / referral,4,2,0,0.0,1
202507,sendinblue / email,4,1,0,0.0,1
202507,youcare.world / referral,4,4,0,0.0,4
202508,copilot.microsoft.com / referral,4,3,0,0.0,3
202508,dealspotr.com / referral,4,4,0,0.0,3
202508,mcc.ac-limoges.fr / referral,4,4,0,0.0,1
202508,noai.duckduckgo.com / referral,4,2,0,0.0,1
202508,perplexity / (not set),4,4,0,0.0,4
202509,brevo / email,4,3,0,0.0,3
202509,doctissimo.fr / referral,4,2,0,0.0,1
202509,mail.google.com / referral,4,0,0,0.0,3
202509,operator.savoo.com / referral,4,3,0,0.0,3
202509,statics.teams.cdn.office.net / referral,4,2,0,0.0,3
202510,boonjy.com / referral,4,0,0,0.0,1
202510,fr.igraal.com / referral,4,3,1,57.09,1
202510,gearloose.corp.google.com / referral,4,4,0,0.0,4
202510,instagram.com / referral,4,2,0,0.0,1
202510,linkedin.com / referral,4,2,0,0.0,4
202510,mail.google.com / referral,4,2,0,0.0,3
202510,mesenvies.fr / referral,4,1,0,0.0,4
202510,shopmy / (not set),4,1,0,0.0,4
202511,canva.com / referral,4,2,0,0.0,2
202511,instagram.com / referral,4,1,0,0.0,4
202512,chatgpt.com / (not set),4,1,0,0.0,2
202512,fr.igraal.com / referral,4,1,0,0.0,1
202512,fr.promocodie.com / referral,4,2,0,0.0,1
202512,listy.fr / referral,4,3,0,0.0,4
202512,m.facebook.com / paid,4,1,0,0.0,4
202601,trustpilot / company_profile,4,1,0,0.0,2
202601,xxxxx / xxxxx,4,3,0,0.0,3
202602,perplexity / (not set),4,4,0,0.0,1
202604,Klaviyo / (not set),4,2,0,0.0,2
202605,trustpilot / company_profile,4,3,0,0.0,1
202506,g7fr0.r.a.d.sendibm1.com / referral,3,2,0,0.0,3
202506,mesenvies.fr / referral,3,3,0,0.0,2
202506,mobile.widilo.fr / referral,3,2,1,102.1,2
202506,perplexity / (not set),3,3,0,0.0,3
202506,search.brave.com / referral,3,3,0,0.0,3
202506,search.lilo.org / referral,3,1,0,0.0,1
202506,youcare.world / referral,3,2,0,0.0,2
202507,AMT / Influencer,3,0,0,0.0,2
202507,brevo / email,3,2,0,0.0,3
202507,facebook-SiteLink / ppc,3,2,0,0.0,2
202507,g7fr0.r.a.d.sendibm1.com / referral,3,2,0,0.0,2
202507,hi.switchy.io / referral,3,3,0,0.0,2
202507,joinparallel.io / referral,3,1,0,0.0,1
202507,linktr.ee / referral,3,2,0,0.0,3
202507,test-store20.myshopify.com / referral,3,2,0,0.0,1
202507,yahoo / organic,3,3,0,0.0,3
202508,affilae / affiliation,3,2,0,0.0,2
202508,app.joko.com / referral,3,2,0,0.0,1
202508,ca.search.yahoo.com / referral,3,2,0,0.0,2
202508,gearloose.corp.google.com / referral,3,3,0,0.0,3
202508,listy.fr / referral,3,2,0,0.0,2
202508,m.youtube.com / referral,3,3,0,0.0,3
202508,panda-search.org / referral,3,3,0,0.0,1
202508,sendinblue / email,3,1,0,0.0,2
202508,shop_app / (not set),3,1,0,0.0,2
202508,typeform.com / referral,3,1,0,0.0,2
202508,youcare.world / referral,3,3,0,0.0,2
202509,cap3000.com / referral,3,2,0,0.0,2
202509,dealspotr.com / referral,3,1,0,0.0,3
202509,nesobrands.com / referral,3,3,0,0.0,3
202509,snapchat / social,3,2,0,0.0,3
202510,ca.pinterest.com / referral,3,2,0,0.0,1
202510,facebook.com / referral,3,2,0,0.0,3
202510,linktr.ee / referral,3,0,0,0.0,3
202510,marieclaire.be / referral,3,3,0,0.0,3
202510,sendinblue / email,3,0,0,0.0,1
202511,(not set) / paid,3,2,0,0.0,2
202511,Instagram_stories / Influenceur,3,1,0,0.0,2
202511,ebuyclub.com / referral,3,1,0,0.0,3
202511,operator.savoo.com / referral,3,1,0,0.0,2
202511,shopmy / (not set),3,1,0,0.0,3
202511,trustpilot / company_profile,3,3,0,0.0,3
202511,wishupon.app / referral,3,3,0,0.0,3
202512,duckduckgo / organic,3,1,0,0.0,2
202512,es.pinterest.com / referral,3,3,0,0.0,1
202512,mesenvies.fr / referral,3,1,0,0.0,3
202601,ebuyclub.com / referral,3,0,0,0.0,1
202601,ecommerce-gateway.mollie.com / referral,3,1,0,0.0,1
202601,facebook.com / referral,3,1,0,0.0,3
202601,mesenvies.fr / referral,3,3,0,0.0,2
202601,pinterest.com / referral,3,0,0,0.0,3
202601,psbe-le-petit-lunetier.odoo.com / referral,3,1,0,0.0,1
202601,sendinblue / email,3,1,0,0.0,1
202602,AMT / Influenceur,3,0,0,0.0,3
202603,(not set) / paid,3,1,0,0.0,1
202603,judgeme / email,3,2,0,0.0,1
202603,klarna / referral,3,3,0,0.0,3
202603,redirect.ppro.com / referral,3,3,0,0.0,2
202604,facebook / Paid Social,3,1,0,0.0,1
202605,Pinterest / organic,3,2,0,0.0,2
202605,google / (not set),3,1,0,0.0,1
202605,m.facebook.com / referral,3,1,0,0.0,3
202605,socialmedia / influence,3,0,0,0.0,1
202606,(not set) / product-links,3,3,0,0.0,1
202606,facebook-SiteLink / ppc,3,2,0,0.0,2
202506,AMT / Influencer,2,1,0,0.0,2
202506,admin.upservices.upfeat.io / referral,2,2,0,0.0,1
202506,agenceshop.fr / referral,2,1,0,0.0,1
202506,dealabs.com / referral,2,2,0,0.0,2
202506,g7fr0.r.bh.d.sendibt3.com / referral,2,0,0,0.0,1
202506,klarna / referral,2,2,0,0.0,1
202506,listy.fr / referral,2,1,0,0.0,2
202506,marieclaire.be / referral,2,2,0,0.0,2
202506,redirect.ppro.com / referral,2,0,0,0.0,2
202506,sellsy.com / referral,2,0,0,0.0,1
202506,sendinblue / email,2,2,0,0.0,1
202507,codepromo.lexpress.fr / referral,2,1,0,0.0,1
202507,internet-start.net / referral,2,2,0,0.0,1
202507,lm.facebook.com / referral,2,1,0,0.0,2
202507,manus.im / referral,2,1,0,0.0,1
202507,promos.fr / referral,2,1,0,0.0,1
202507,statics.teams.cdn.office.net / referral,2,2,0,0.0,2
202507,tiktok.com / referral,2,2,0,0.0,2
202508,as.search.yahoo.com / referral,2,2,0,0.0,1
202508,codepromo.lexpress.fr / referral,2,2,1,53.99,1
202508,dsh0p.com / referral,2,1,0,0.0,1
202508,email.seznam.cz / referral,2,2,0,0.0,1
202508,klaviyo.lightning.force.com / referral,2,0,0,0.0,1
202508,mail.google.com / referral,2,1,0,0.0,2
202508,operator.savoo.com / referral,2,2,0,0.0,2
202508,redirect.ppro.com / referral,2,1,0,0.0,1
202508,t.co / referral,2,0,0,0.0,1
202509,facebook / (not set),2,1,0,0.0,1
202509,fr.mappy.com / referral,2,0,0,0.0,1
202509,lepetitlunetier.couponasion.com / referral,2,2,0,0.0,1
202509,loyaltylion.lightning.force.com / referral,2,2,0,0.0,1
202509,pay.mollie.nl / referral,2,0,0,0.0,1
202509,sendinblue / email,2,2,0,0.0,2
202509,sg.search.yahoo.com / referral,2,1,0,0.0,1
202509,shop_app / (not set),2,1,0,0.0,2
202509,vbpc5g-np.myshopify.com / referral,2,2,0,0.0,1
202510,affilae / affiliation,2,2,0,0.0,2
202510,bit.ly / referral,2,1,0,0.0,2
202510,copilot.microsoft.com / referral,2,2,0,0.0,2
202510,datadog.lightning.force.com / referral,2,0,0,0.0,1
202510,mail01.orange.fr / referral,2,0,0,0.0,2
202510,operator.savoo.com / referral,2,2,0,0.0,1
202510,perplexity / (not set),2,1,0,0.0,2
202510,shop_app / (not set),2,0,0,0.0,2
202510,trustpilot / company_profile,2,2,0,0.0,2
202510,youtube / chaine-youtube,2,1,0,0.0,1
202511,AMT / Influencer,2,0,0,0.0,2
202511,REVER Recommendations / email,2,1,0,0.0,2
202511,app.minari.ai / referral,2,1,0,0.0,1
202511,bit.ly / referral,2,0,0,0.0,1
202511,d3kr42y8uedjhqch-11691934.shopifypreview.com / referral,2,2,0,0.0,1
202511,de.search.yahoo.com / referral,2,0,0,0.0,1
202511,fittingbox.com / referral,2,2,0,0.0,2
202511,frc-excel.officeapps.live.com / referral,2,2,0,0.0,1
202511,lepetitlunetier-com.translate.goog / referral,2,1,0,0.0,1
202511,m.facebook.com / paid,2,0,0,0.0,2
202511,m.youtube.com / referral,2,1,0,0.0,1
202511,mail.google.com / referral,2,1,0,0.0,1
202511,mail.infomaniak.com / referral,2,1,0,0.0,1
202511,marieclaire.be / referral,2,2,0,0.0,2
202511,messageriepro.orange.fr / referral,2,2,0,0.0,1
202511,outlook.live.com / referral,2,2,0,0.0,2
202511,snapchat.com / referral,2,1,0,0.0,2
202511,statics.teams.cdn.office.net / referral,2,1,0,0.0,2
202511,trustdeals.fr / referral,2,2,0,0.0,1
202511,typeform.com / referral,2,1,0,0.0,2
202512,Facebook / Paid Social,2,1,0,0.0,2
202512,d3kr42y8uedjhqch-11691934.shopifypreview.com / referral,2,0,0,0.0,1
202512,judgeme / referral,2,2,0,0.0,2
202512,l.facebook.com / paid,2,2,0,0.0,1
202512,messageriepro.orange.fr / referral,2,2,0,0.0,1
202601,influenceur.promo / referral,2,2,0,0.0,1
202601,mail.infomaniak.com / referral,2,0,0,0.0,1
202601,tagassistant.google.com / referral,2,2,0,0.0,1
202602,Pinterest / organic,2,0,0,0.0,2
202602,affilae / affiliation,2,1,1,64.0,1
202602,le-petit-lunetier.shipping-portal.com / referral,2,1,0,0.0,1
202602,mesenvies.fr / referral,2,0,0,0.0,1
202602,sendinblue / email,2,1,0,0.0,1
202602,test-store20.myshopify.com / referral,2,1,0,0.0,1
202603,google.com / referral,2,0,0,0.0,2
202603,messageriepro.orange.fr / referral,2,2,0,0.0,1
202603,sendinblue / email,2,1,0,0.0,1
202603,shopmy / (not set),2,1,0,0.0,1
202603,trustpilot / company_profile,2,1,0,0.0,2
202604,Pinterest / organic,2,2,0,0.0,2
202604,google / (not set),2,2,0,0.0,2
202604,shop_app / (not set),2,2,0,0.0,1
202605,Account Activation / email,2,1,0,0.0,1
202605,klarna / referral,2,0,0,0.0,2
202605,mail.google.com / referral,2,1,0,0.0,2
202605,xxxxx / xxxxx,2,2,0,0.0,2
202606,Klaviyo / (not set),2,0,0,0.0,1
202606,admin.shopify.com / referral,2,1,0,0.0,1
202606,gemini.google.com / ai-assistant,2,1,0,0.0,2
202606,google.com / referral,2,0,0,0.0,2
202606,judgeme / email,2,0,0,0.0,2
202606,mail.google.com / referral,2,2,0,0.0,2
202506,Account Activation / email,1,0,0,0.0,1
202506,admin.shopify.com / referral,1,1,0,0.0,1
202506,app.affilae.com / referral,1,1,0,0.0,1
202506,canva.com / referral,1,1,0,0.0,1
202506,commeuncamion.com / referral,1,0,0,0.0,1
202506,facebook / paid,1,1,0,0.0,1
202506,facebook-SiteLink / ppc,1,0,0,0.0,1
202506,hi.switchy.io / referral,1,1,0,0.0,1
202506,instagram.com / Influenceur,1,0,0,0.0,1
202506,l.instagram.com / Influe nceur,1,0,0,0.0,1
202506,lepetitlunetier.couponasion.com / referral,1,1,0,0.0,1
202506,linktr.ee / referral,1,1,0,0.0,1
202506,madmoizelle.com / referral,1,0,0,0.0,1
202506,marieclaire.fr / affiliation,1,0,0,0.0,1
202506,milirose.com / referral,1,1,0,0.0,1
202506,nl.search.yahoo.com / referral,1,1,0,0.0,1
202506,operator.savoo.com / referral,1,1,0,0.0,1
202506,pinterest.com / referral,1,0,0,0.0,1
202506,promos.fr / referral,1,0,0,0.0,1
202506,shop_app / (not set),1,1,0,0.0,1
202506,trustpilot / company_profile,1,1,0,0.0,1
202506,web-mail.laposte.net / referral,1,1,0,0.0,1
202507,(not set) / Infl uenceur,1,0,0,0.0,1
202507,21buttons / social,1,0,0,0.0,1
202507,AMT / lnfluenceur,1,1,0,0.0,1
202507,REVER Recommendations / email,1,1,0,0.0,1
202507,afterdarkmode.net / referral,1,1,0,0.0,1
202507,aftership.com / referral,1,0,0,0.0,1
202507,app.joko.com / referral,1,1,0,0.0,1
202507,canva.com / referral,1,0,0,0.0,1
202507,cap3000.com / referral,1,1,0,0.0,1
202507,chatgpt / (not set),1,0,0,0.0,1
202507,copilot.microsoft.com / referral,1,1,0,0.0,1
202507,doitinparis.com / referral,1,1,0,0.0,1
202507,en.cap3000.com / referral,1,1,0,0.0,1
202507,facebook / (not set),1,0,0,0.0,1
202507,fr.promocodie.com / referral,1,0,0,0.0,1
202507,g7fr0.r.bh.d.sendibt3.com / referral,1,0,0,0.0,1
202507,gearloose.corp.google.com / referral,1,1,0,0.0,1
202507,instagram.com / Infl uenceur,1,1,0,0.0,1
202507,l.workplace.com / referral,1,1,0,0.0,1
202507,listesdecadeaux.com / referral,1,0,0,0.0,1
202507,lpf / referral,1,1,0,0.0,1
202507,mail01.orange.fr / referral,1,1,0,0.0,1
202507,mail02.orange.fr / referral,1,1,0,0.0,1
202507,marieclaire.fr / referral,1,1,0,0.0,1
202507,ordissinaute.co.uk / referral,1,0,0,0.0,1
202507,pagesjaunes.fr / referral,1,1,0,0.0,1
202507,perplexity.ai / referral,1,1,0,0.0,1
202507,pinterest.com / referral,1,0,0,0.0,1
202507,privacywall.org / referral,1,0,0,0.0,1
202507,revealstudio.co / referral,1,1,0,0.0,1
202507,semrush.com / referral,1,0,0,0.0,1
202507,snapchat.com / referral,1,1,0,0.0,1
202507,trustpilot / company_profile,1,1,0,0.0,1
202507,yellow-search.org / referral,1,1,0,0.0,1
202507,youtube / chaine-youtube,1,1,0,0.0,1
202508,REVER Recommendations / email,1,1,0,0.0,1
202508,aftership.com / referral,1,1,0,0.0,1
202508,app.seobserver.com / referral,1,1,0,0.0,1
202508,brevo / email,1,1,0,0.0,1
202508,chatgpt.com / (none),1,1,0,0.0,1
202508,es.pinterest.com / referral,1,1,0,0.0,1
202508,fr.mappy.com / referral,1,1,0,0.0,1
202508,fr.promocodie.com / referral,1,0,0,0.0,1
202508,g7fr0.r.bh.d.sendibt3.com / referral,1,0,0,0.0,1
202508,gateway.zscalerthree.net / referral,1,1,0,0.0,1
202508,gemini.google.com / referral,1,1,0,0.0,1
202508,it.search.yahoo.com / referral,1,1,0,0.0,1
202508,l.instagram.com / l nfluenceur,1,1,0,0.0,1
202508,lepetitlunetier.gutscheine7.de / referral,1,1,1,46.64,1
202508,linkedin.com / referral,1,1,0,0.0,1
202508,lookfamed.lightning.force.com / referral,1,1,0,0.0,1
202508,m.search.naver.com / referral,1,1,0,0.0,1
202508,mail.telenet.be / referral,1,1,0,0.0,1
202508,majolieliste.fr / referral,1,1,0,0.0,1
202508,mesenvies.fr / referral,1,1,0,0.0,1
202508,nesobrands.com / referral,1,1,0,0.0,1
202508,nl.search.yahoo.com / referral,1,1,0,0.0,1
202508,nyscollection.ma / referral,1,1,0,0.0,1
202508,ordissinaute.co.uk / referral,1,1,0,0.0,1
202508,petalsearch.com / referral,1,1,0,0.0,1
202508,public.fr / referral,1,1,0,0.0,1
202508,sitedesmarques.com / referral,1,1,0,0.0,1
202508,test-store20.myshopify.com / referral,1,0,0,0.0,1
202508,thegoodlist.fr / referral,1,1,0,0.0,1
202508,wmail.orange.fr / referral,1,1,0,0.0,1
202509,Instagram_Stories / Influencer,1,0,0,0.0,1
202509,app.joko.com / referral,1,1,0,0.0,1
202509,app.prontohq.com / referral,1,1,0,0.0,1
202509,belacom.lightning.force.com / referral,1,1,0,0.0,1
202509,bit.ly / referral,1,1,0,0.0,1
202509,ca.pinterest.com / referral,1,1,0,0.0,1
202509,canva / iframely,1,1,0,0.0,1
202509,dealdrop.com / referral,1,1,0,0.0,1
202509,gevciamst.online / referral,1,0,0,0.0,1
202509,gw199038.fortimail.com / referral,1,1,0,0.0,1
202509,instagram.com / referral,1,0,0,0.0,1
202509,it.cap3000.com / referral,1,1,0,0.0,1
202509,lm.facebook.com / referral,1,0,0,0.0,1
202509,lpf / (not set),1,0,0,0.0,1
202509,m.youtube.com / referral,1,1,0,0.0,1
202509,mediatech-solutions.lightning.force.com / referral,1,1,0,0.0,1
202509,mesenvies.fr / referral,1,1,0,0.0,1
202509,meta / CBO,1,0,0,0.0,1
202509,ntp.msn.com / referral,1,1,0,0.0,1
202509,ophtacity.fr / referral,1,1,0,0.0,1
202509,perplexity / (not set),1,1,0,0.0,1
202509,prod.wearejoon.com / referral,1,1,0,0.0,1
202509,ru.pinterest.com / referral,1,1,0,0.0,1
202509,shopping-product-identity.datacompute.google.com / referral,1,1,0,0.0,1
202509,webmail.ac-nancy-metz.fr / referral,1,1,0,0.0,1
202509,yahoo / organic,1,0,0,0.0,1
202510,AMT / Influencer,1,0,0,0.0,1
202510,agenceshop.fr / referral,1,1,0,0.0,1
202510,app.trendtrack.io / referral,1,0,0,0.0,1
202510,arobbase.fr / referral,1,1,0,0.0,1
202510,br.pinterest.com / referral,1,1,0,0.0,1
202510,brevo / email,1,1,0,0.0,1
202510,ca.search.yahoo.com / referral,1,1,0,0.0,1
202510,canva.com / referral,1,1,0,0.0,1
202510,cap3000.com / referral,1,1,0,0.0,1
202510,capitaloneshopping.com / referral,1,0,0,0.0,1
202510,ch.search.yahoo.com / referral,1,1,0,0.0,1
202510,crm.lionflence.com / referral,1,1,0,0.0,1
202510,emea.search.yahoo.com / referral,1,1,0,0.0,1
202510,fr.mappy.com / referral,1,1,0,0.0,1
202510,lm.facebook.com / referral,1,0,0,0.0,1
202510,marieclaire.fr / referral,1,1,0,0.0,1
202510,noel.ma-liste.net / referral,1,1,0,0.0,1
202510,nyscollection.ma / referral,1,1,0,0.0,1
202510,perplexity.ai / referral,1,1,0,0.0,1
202510,sem.bridportserver.click / referral,1,1,0,0.0,1
202510,snapchat.com / referral,1,0,0,0.0,1
202510,startpage.com / referral,1,1,0,0.0,1
202510,t.co / referral,1,1,0,0.0,1
202510,tiktok.com / referral,1,0,0,0.0,1
202510,trackanalyse.com / referral,1,1,0,0.0,1
202510,trustpilot.lightning.force.com / referral,1,1,0,0.0,1
202510,viber.com / referral,1,1,0,0.0,1
202510,yandex.ru / referral,1,1,0,0.0,1
202511,affilae / affiliation,1,1,0,0.0,1
202511,app.neuronwriter.com / referral,1,0,0,0.0,1
202511,app.trendtrack.io / referral,1,0,0,0.0,1
202511,app.youpili.fr / referral,1,1,0,0.0,1
202511,back-in-stock / email,1,1,0,0.0,1
202511,baidu / organic,1,1,0,0.0,1
202511,br.pinterest.com / referral,1,0,0,0.0,1
202511,ca.search.yahoo.com / referral,1,1,0,0.0,1
202511,chatgpt.com / (none),1,1,0,0.0,1
202511,cro.media / referral,1,1,0,0.0,1
202511,dealabs.com / referral,1,1,0,0.0,1
202511,dealspotr.com / referral,1,1,0,0.0,1
202511,drawnames.fr / referral,1,1,0,0.0,1
202511,e.mail.ru / referral,1,1,0,0.0,1
202511,facebook.com / referral,1,1,0,0.0,1
202511,gearloose.corp.google.com / referral,1,1,0,0.0,1
202511,getjust.eu / referral,1,0,0,0.0,1
202511,google / (not set),1,1,0,0.0,1
202511,gowish.com / referral,1,0,0,0.0,1
202511,ig_text_feed_timeline / referral,1,1,0,0.0,1
202511,in.search.yahoo.com / referral,1,1,0,0.0,1
202511,journaldesfemmes.fr / referral,1,1,0,0.0,1
202511,l.facebook.com / paid,1,0,0,0.0,1
202511,linkedin.com / referral,1,1,0,0.0,1
202511,mail01.orange.fr / referral,1,0,0,0.0,1
202511,mail02.orange.fr / referral,1,1,0,0.0,1
202511,meta / CBO,1,1,0,0.0,1
202511,mibc-fr-04.mailinblack.com / referral,1,1,0,0.0,1
202511,msn.com / referral,1,1,0,0.0,1
202511,nesobrands.com / referral,1,1,0,0.0,1
202511,perplexity.ai / referral,1,1,0,0.0,1
202511,qwantjunior.com / referral,1,1,0,0.0,1
202511,r.promocodie.com / referral,1,1,0,0.0,1
202511,revealstudio.co / referral,1,1,0,0.0,1
202511,revolut3.lightning.force.com / referral,1,1,0,0.0,1
202511,sendinblue / email,1,0,0,0.0,1
202511,symbaloo.com / referral,1,1,0,0.0,1
202511,tiktok.com / referral,1,1,0,0.0,1
202511,trustpilot.lightning.force.com / referral,1,1,0,0.0,1
202511,twitch.tv / referral,1,1,0,0.0,1
202511,web-mail.laposte.net / referral,1,1,0,0.0,1
202511,webmail.sfr.fr / referral,1,1,0,0.0,1
202511,yellow-search.org / referral,1,1,0,0.0,1
202511,zimbra.free.fr / referral,1,1,0,0.0,1
202512,admin.upservices.upfeat.io / referral,1,1,0,0.0,1
202512,baidu / organic,1,0,0,0.0,1
202512,br.pinterest.com / referral,1,0,0,0.0,1
202512,klarna / referral,1,0,0,0.0,1
202512,klaviyo.com / referral,1,1,0,0.0,1
202512,l.wl.co / referral,1,1,0,0.0,1
202512,lepetitlunetier.aftership.com / referral,1,0,0,0.0,1
202512,marieclaire.fr / referral,1,1,0,0.0,1
202512,pinterest.com / referral,1,1,0,0.0,1
202512,redirect.ppro.com / referral,1,1,0,0.0,1
202512,youtube.com / referral,1,1,0,0.0,1
202512,zipchat / chat_bubble,1,1,0,0.0,1
202601,Account Activation / email,1,0,0,0.0,1
202601,Facebook / Paid Social,1,1,0,0.0,1
202601,REVER Recommendations / email,1,1,0,0.0,1
202601,admin.upservices.upfeat.io / referral,1,0,0,0.0,1
202601,belacom.lightning.force.com / referral,1,1,0,0.0,1
202601,canva.com / referral,1,1,1,55.99,1
202601,commeuncamion.com / referral,1,1,0,0.0,1
202601,d3kr42y8uedjhqch-11691934.shopifypreview.com / referral,1,0,0,0.0,1
202601,frc-excel.officeapps.live.com / referral,1,0,0,0.0,1
202601,klarna / referral,1,1,0,0.0,1
202601,mail01.orange.fr / referral,1,1,0,0.0,1
202601,mail02.orange.fr / referral,1,1,0,0.0,1
202601,messageriepro.orange.fr / referral,1,1,0,0.0,1
202601,outlook.live.com / referral,1,1,0,0.0,1
202601,savoo.fr / referral,1,1,0,0.0,1
202601,thegoodlist.fr / referral,1,0,0,0.0,1
202601,tiktok.com / referral,1,0,0,0.0,1
202601,typeform.com / referral,1,0,0,0.0,1
202602,Chrome / Extension:omnibox,1,1,0,0.0,1
202602,Facebook / Paid Social,1,1,0,0.0,1
202602,chatgpt.com / referral,1,0,0,0.0,1
202602,d3kr42y8uedjhqch-11691934.shopifypreview.com / referral,1,1,0,0.0,1
202602,fr.igraal.com / referral,1,0,0,0.0,1
202602,klarna / referral,1,1,0,0.0,1
202602,l.facebook.com / referral,1,0,0,0.0,1
202602,shopmy / (not set),1,0,0,0.0,1
202602,trustpilot / company_profile,1,0,0,0.0,1
202602,typeform / quizz,1,1,0,0.0,1
202603,21buttons / social,1,0,0,0.0,1
202603,AMT / Influenceur,1,1,0,0.0,1
202603,Instagram_stories / Influenceur,1,1,0,0.0,1
202603,Klaviyo&utm_medium=email&utm_campaign=FR - sélection mi saison - 08.03.2026 (01KK1RA855434JCX3JMYEYBRKD)&utm_id=01KK1RA855434JCX3JMYEYBRKD&_kx=rNYjkYYDf-7hY01qYQypmUmk0RSZznUB7XiGdb77fKgXdKlwg_WRJNq050OKRItF.NPQDCS&filter.v.price.gte=49&filter.v.price.lte=49 / (not set),1,1,0,0.0,1
202603,admin.upservices.upfeat.io / referral,1,1,0,0.0,1
202603,facebook.com / referral,1,1,0,0.0,1
202603,google&utm_medium=cpc&utm_campaign=14718563180&utm_adgroup=128226982780&utm_content={adid}&utm_term=le petit lunetier&gad_source=1&gad_campaignid=14718563180&gclid=CjwKCAjw1N7NBhAoEiwAcPchpypseJ92iosztLl0XfJ5i2DWc6CZD0Xo15xdLohE2M6A-NbDoCZNEhoCjlkQAvD_BwE / (not set),1,1,0,0.0,1
202603,l.facebook.com / referral,1,1,0,0.0,1
202604,facebook.com / referral,1,0,0,0.0,1
202604,judgeme / email,1,1,0,0.0,1
202604,klarna / referral,1,1,1,54.99,1
202604,perplexity / (not set),1,0,0,0.0,1
202604,psbe-le-petit-lunetier.odoo.com / referral,1,0,0,0.0,1
202604,trustpilot / company_profile,1,0,0,0.0,1
202605,admin.shopify.com / referral,1,1,0,0.0,1
202605,ecommerce-gateway.mollie.com / referral,1,0,0,0.0,1
202605,facebook.com / referral,1,0,0,0.0,1
202605,google / product_sync,1,0,0,0.0,1
202605,google.com / referral,1,0,0,0.0,1
202605,le-petit-lunetier.as.me / referral,1,1,0,0.0,1
202606,(not set) / paid,1,1,0,0.0,1
202606,Facebook / Paid Social,1,1,0,0.0,1
202606,barber-room.co.uk / referral,1,0,0,0.0,1
202606,claude.ai / ai-assistant,1,1,0,0.0,1
202606,copilot.com / (not set),1,0,0,0.0,1
202606,cro.media / referral,1,1,0,0.0,1
202606,google / product_sync,1,0,0,0.0,1
202606,judgeme / referral,1,0,0,0.0,1
202606,xxxxx / xxxxx,1,1,0,0.0,1
