year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202507,Instagram_stories / Influenceur,363,296,2,122.29,334
202507,m.facebook.com / referral,356,255,0,0.0,324
202509,ecosia.org / organic,353,241,1,51.99,219
202510,ecosia.org / organic,351,254,2,203.0,206
202601,facebook / paid,346,144,2,83.99,235
202507,lepetitlunetier.aftership.com / referral,341,198,0,0.0,127
202511,Klaviyo / email,340,193,2,135.04,176
202507,ecosia.org / organic,339,237,2,168.0,221
202508,ecosia.org / organic,338,243,3,447.0,207
202510,Klaviyo / email,330,185,2,123.64,186
202510,m.facebook.com / referral,316,263,0,0.0,299
202509,m.facebook.com / referral,307,244,1,0.0,275
202509,Instagram_stories / Influenceur,296,234,3,203.64,277
202510,le-petit-lunetier.typeform.com / referral,296,129,5,870.62,64
202603,facebook / paid,290,117,2,183.99,187
202508,m.facebook.com / referral,289,221,4,204.62,275
202510,(data not available),269,240,1,54.99,261
202606,ecosia.org / organic,260,184,8,524.0,161
202506,AMT / Influenceur,245,103,1,46.64,193
202509,chatgpt.com / (not set),242,186,0,0.0,200
202509,le-petit-lunetier.typeform.com / referral,236,77,3,541.1,57
202509,Facebook / Paid Social,223,175,0,0.0,208
202508,lepetitlunetier.aftership.com / referral,213,133,3,268.09,96
202508,Facebook / Paid Social,209,167,0,0.0,200
202507,Facebook / Paid Social,207,164,0,0.0,199
202601,Klaviyo / email,206,123,1,94.99,88
202511,lepetitlunetier.com / referral,199,106,21,0.0,181
202508,AMT / Influenceur,196,79,0,0.0,164
202511,le-petit-lunetier.typeform.com / referral,195,108,8,1547.29,62
202507,ma-reduc.com / referral,190,100,6,572.58,82
202512,lepetitlunetier.com / referral,186,107,20,0.0,153
202510,lepetitlunetier.com / referral,184,126,28,0.0,157
202509,lepetitlunetier.com / referral,181,112,14,0.0,158
202508,ma-reduc.com / referral,175,91,7,586.58,82
202510,ma-reduc.com / referral,173,83,11,1200.44,80
202509,ma-reduc.com / referral,167,87,6,947.57,64
202507,influenceur.promo / referral,164,70,6,527.14,90
202507,OrderlyEmails / email,160,83,7,990.49,86
202510,chatgpt.com / (not set),159,117,0,0.0,138
202602,socialmedia / influence,159,105,4,178.99,74
202507,lepetitlunetier.com / referral,152,90,13,0.0,127
202601,socialmedia / influence,144,88,2,138.0,97
202511,chatgpt.com / (not set),143,109,0,0.0,134
202509,lepetitlunetier.aftership.com / referral,142,89,0,0.0,60
202508,lepetitlunetier.com / referral,140,86,12,0.0,126
202506,bing / organic,139,107,4,695.29,109
